STORMNET_ID,VDOT Length,Easement Length,Total Conveyance Length,County Area,County Area Impervious
STMN0112001318,0,437.68,437.68,0,0
STMN0112001358,2747.54,198.14,3527.56,0,0
STMN0112001477,1380.08,1842.36,3411.88,0,0
STMN0112001483,129.26,176.57,374.13,0,0
STMN0112001498,722.01,455.23,1419.67,0,0
STMN0112001530,56.13,549.59,636.17,0,0
STMN0112001538,52.55,428.28,484.11,0,0
STMN0112001592,37.09,321.75,357.16,0,0
STMN0112001637,1427.57,293.01,1743.97,0,0
STMN0112001661,7.8,373.2,382.57,0,0
STMN0112001672,427,549.23,1073.93,0,0
STMN0112001747,0,728.95,728.95,0,0
STMN0112001776,0,732.33,770.32,0,0
STMN0112001822,0,94.5,156.83,0,0
STMN0112001858,0,258.2,258.2,0,0
STMN0112002018,155.09,1380.57,1744.66,0,0
STMN0112002070,196.14,76.95,268.32,0,0
STMN0112002144,1932.6,3277.26,5264.24,0,0
STMN0112002145,0,146.81,146.81,0,0
STMN0112002158,5.81,179.64,242.73,0,0
STMN0112002161,101.76,391.23,541.54,0,0
STMN0112002175,494.26,1837.02,2398.95,0,0
STMN0112002177,45.46,0,185.59,0,0
STMN0112002182,63.2,187.71,423.04,0,0
STMN0112002188,584.07,463.14,1127.8,0,0
STMN0112002225,0.59,0,152.55,0,0
STMN0112002238,0,227.02,313.9,0,0
STMN0112054480,0,173.76,897.15,0,0
STMN0112054505,0,590.24,857,0,0
STMN0112054606,214.78,173.27,454.42,0,0
STMN0112079763,0,577.82,899.4,0,0
STMN0112091221,270.85,479.58,729.28,0,0
STMN0112091222,656.4,1405.97,2252.43,0,0
STMN0112094075,36.23,160.22,256.57,0,0
STMN0112503513,0,85.33,102.21,0,0
STMN0112508267,212.1,117.05,540.36,0,0
STMN0113002437,94.68,494.6,589.99,0,0
STMN0113003935,749.81,375.75,1293.7,0,0
STMN0113004193,0,723.54,723.54,0,0
STMN0113053943,2752.9,2476.77,5153.18,0,0
STMN0113055657,0,17.84,17.84,2314.27,545.29
STMN0113095933,24.57,12.31,51.6,424.88,0
STMN0113403110,645.54,1229.18,2100.83,1350.59,0
STMN0113403112,4.77,143.06,154.25,741.84,0
STMN0113403114,942.11,1667.7,2798.5,0,0
STMN0113403118,1088.71,721.96,1980.66,8460.2,128.55
STMN0113403121,590.13,1197.52,2336.02,2943.38,0
STMN0113403164,99.89,295.14,394.74,0,0
STMN0113403167,10.93,206.43,215.48,0,0
STMN0113403181,545.05,2431.26,2975.64,0,0
STMN0113403204,137.74,8.32,327.84,0,0
STMN0113403205,29.61,94.69,122.09,0,0
STMN0113403440,419.97,334.73,1136.29,101104.95,13596.43
STMN0113403445,2402.39,438.55,4873.88,54806.93,12557.37
STMN0113403495,92.55,455.26,1057.66,51732.01,0
STMN0113403509,462.74,80.5,691.19,0,0
STMN0113403518,0,189.32,292.09,0,0
STMN0113403532,117.49,1147.38,1326.06,0,0
STMN0113403543,301.27,218.87,490.21,0,0
STMN0113403546,0,79.48,79.48,0,0
STMN0113403550,0,52.73,97.91,0,0
STMN0113403551,0,288.78,311.49,0,0
STMN0113403564,0,522.7,588.56,0,0
STMN0113403571,0,781.14,885.93,0,0
STMN0113403572,0,405.68,415.88,0,0
STMN0113403588,48.42,24.06,74.67,0,0
STMN0113403591,45.88,51.64,99.61,0,0
STMN0113403596,122.38,97.56,225.96,0,0
STMN0113403607,50.91,90.54,132.23,317.53,0
STMN0113403626,426.29,496.62,631.03,2681.93,640.18
STMN0113403642,230,216.7,445.78,0,0
STMN0113403655,399.69,239.83,566.26,0,0
STMN0113403665,766.47,2356.63,3777.27,0,0
STMN0113510852,0,239.19,392.55,0,0
STMN0114002280,299.9,466.96,808.9,0,0
STMN0114002326,309.99,164.21,699.53,0,0
STMN0114002337,0,109.7,223.46,0,0
STMN0114002388,629.64,387.13,846.45,0,0
STMN0114002413,432.58,1796.6,2245.04,0,0
STMN0114002490,486.57,1690.71,2467.85,0,0
STMN0114002511,0,552.23,668.2,0,0
STMN0114002544,0,2008.25,2033.65,0,0
STMN0114002552,304.06,1381.84,2255.09,0,0
STMN0114002586,12.72,162.49,176.34,0,0
STMN0114002675,0,473.71,505.53,0,0
STMN0114002679,18.93,417.46,435.39,0,0
STMN0114002687,0,82.58,94.61,0,0
STMN0114002688,0,498.7,498.7,0,0
STMN0114002692,137.29,356.51,481.93,0,0
STMN0114002710,0,205.33,205.33,0,0
STMN0114002720,446.7,893.45,1351.99,0,0
STMN0114002805,0,99.92,99.92,0,0
STMN0114002810,0,504.01,533.41,0,0
STMN0114002826,0,1159.92,1202.88,0,0
STMN0114002827,769.88,54.79,3480.51,0,0
STMN0114002850,6.92,253.18,256.75,0,0
STMN0114002929,1166,2725.44,8093.66,0,0
STMN0114002930,0,386.58,386.58,0,0
STMN0114002938,0,88.29,119.69,0,0
STMN0114002961,0,165.39,223.19,0,0
STMN0114002978,44.8,523.82,588.2,0,0
STMN0114002994,336.07,119.32,554.17,0,0
STMN0114003020,1227.13,1638.79,4380.57,662391.32,76813.24
STMN0114003029,49.87,64.11,123.71,0,0
STMN0114003033,457.82,1432.29,1817.56,0,0
STMN0114003064,34.21,1596.16,1770.36,0,0
STMN0114003086,715.62,211.05,1053.69,0,0
STMN0114003548,655.18,455.95,1115.09,0,0
STMN0114003595,0,262.04,411.37,0,0
STMN0114003614,0,229.9,260.52,0,0
STMN0114003682,415.06,1326.31,1893.75,0,0
STMN0114003932,0,162.79,162.79,0,0
STMN0114003957,534.14,348.26,3755.35,1551740.28,134756.78
STMN0114003972,0,468.77,468.77,0,0
STMN0114004017,170.27,206.78,362.31,0,0
STMN0114004040,0,113.17,113.17,0,0
STMN0114079484,141.91,348.55,396.68,0,0
STMN0114079485,247.37,3661.59,5094.77,400449.62,104605.47
STMN0114079488,0,42.86,419.99,0,0
STMN0114079490,1019.04,158.31,1514.98,0,0
STMN0114507338,785.34,3209.64,4321.44,0,0
STMN0121000740,0,0,156.88,0,0
STMN0121000785,145.62,106.8,418.07,0,0
STMN0121000848,458.48,0,488.67,0,0
STMN0121000860,0,23.64,263.29,0,0
STMN0121000879,159.91,12.95,181.95,0,0
STMN0121000930,54.14,51.83,120.65,0,0
STMN0121000995,937.35,135,1181.16,0,0
