STORMNET_ID,Owner,Tot_Acres,Imp_Acres,ROW_Acres,Easement_Acres,Conveyance_Len_FT,STW_Conveyance_Len_FT,row_convey_length_ft,BMP_Per_DA,VDOT_BMP_Count,Treated_Acres,Inlets,Outlets,Buildings,County_Area,County_Area_Imp,Percent_STW_Easement,Percent_ROW,Percent_Treated
STMN0452031334,FFX,52.61873,21.744935,13.34411,5.935393,13301.65,4114.86,5577.19,4,1,25.76,119,10,1,9.853237,3.817293,11.28,25.36,48.955949
STMN0481504260,FFX,114.671927,38.112332,14.17345,5.917071,17401.77,8150.3,4973.35,14,0,15.134586,127,25,2,19.829007,0.815191,5.16,12.36,13.198161
STMN0994494827,VDOT,40.492802,10.0618,0.591195,5.915998,5555.61,3534.92,92.06,1,0,5.509641,44,4,2,4.090735,0.037105,14.61,1.46,13.60647
STMN0392507253,VDOT,113.147325,56.867125,32.416708,5.849717,22582.21,13763.09,4943.71,13,1,61.375316,142,17,0,0,0,5.17,28.65,54.243719
STMN0912473006,FFX,59.464272,15.350907,4.239803,5.803713,7381.6,5248.84,1080.73,2,0,3.13719,54,4,0,0,0,9.76,7.13,5.275756
STMN0463040966,FFX,90.580469,51.924003,13.831638,5.788092,21939.27,8122.02,3032.71,9,0,71.54,154,17,4,4.756666,0.550853,6.39,15.27,78.979499
STMN1071095453,VDOT/FFX,59.371393,27.424007,0.439348,5.759025,15985.04,4435.23,0,1,0,56.72,143,2,3,13.347693,3.937687,9.7,0.74,95.534225
STMN0493423953,FFX,128.675457,64.631147,16.856485,5.635985,30188.53,10828.08,5675.96,17,0,130.082,241,11,3,16.225618,9.267543,4.38,13.1,100
STMN0483036335,FFX,79.577872,33.136692,9.947234,5.602282,15645.09,10178.43,1994.26,8,0,4.91,109,12,1,1.09768,0,7.04,12.5,6.170057
STMN1012486482,FFX,96.132623,60.798406,9.776688,5.556466,21125.21,9515.32,4590.65,8,0,2.58,156,26,2,50.824601,27.606848,5.78,10.17,2.683792
STMN0553436593,FFX,57.258061,22.341732,10.466774,5.536855,10096.12,5085.38,3961.14,6,0,40.591849,85,7,0,0,0,9.67,18.28,70.892811
