STORMNET_ID,Owner,total_acres,vdot_bmp_count,swe_perc,row_perc,total_convey_length_ft,swe_convey_length_ft,row_convey_length_ft,total_county_acres,imperv_county_acres
STMN0102402414,FFX,21.99,0,4.11,17.78,3361.93,1683.74,1480.18,0.50,0.00
STMN0102402663,FFX,5.32,0,5.51,19.34,815.63,240.57,493.29,0.04,0.00
STMN0102402675,FFX,4.91,1,0.54,48.60,1689.05,2.46,1202.34,0.85,0.28
STMN0102402744,FFX,54.93,0,2.53,18.88,8872.33,2498.03,3438.57,0.10,0.00
STMN0102402764,FFX,11.70,0,1.80,20.64,1411.37,585.55,723.04,0.03,0.00
STMN0102402779,FFX,1.11,0,2.85,40.88,142.93,136.36,6.53,0.02,0.00
STMN0102402782,FFX,1.64,0,2.18,29.88,162.93,104.78,5.51,0.05,0.00
STMN0102402941,FFX,53.97,0,2.37,19.42,6343.74,2678.49,3374.07,1.44,0.09
STMN0102402955,FFX,11.83,0,0.76,27.72,1299.99,313.09,753.13,0.25,0.00
STMN0102403015,FFX,10.22,0,8.51,11.73,1637.61,1070.47,301.92,0.04,0.00
STMN0102503256,VDOT,39.82,1,5.03,23.18,6278.40,1885.71,3327.88,0.02,0.00
STMN0102503553,FFX,4.39,0,13.65,21.52,400.07,269.85,135.63,0.27,0.00
STMN0104403710,FFX,11.68,0,2.76,17.96,1872.50,403.21,379.77,0.02,0.00
STMN0104403733,FFX,290.70,0,2.87,13.89,24147.59,10818.03,11652.98,0.00,0.00
STMN0104403834,FFX,2.58,0,2.53,22.46,156.47,121.75,42.08,0.04,0.00
STMN0111067612,FFX,2.34,1,0.58,0.00,599.54,0.28,0.00,0.40,0.00
STMN0111067665,FFX,3.54,1,49.22,2.08,914.63,286.31,0.00,1.72,0.02
STMN0082400764,FFX,1.76,0,0.00,0.00,444.15,0.00,0.00,1.76,0.23
STMN0064000018,FFX,4.58,0,5.98,12.51,269.11,0.44,187.38,0.00,0.00
STMN0064000066,VDOT,7.66,0,0.01,11.06,54.70,0.58,50.19,0.00,0.00
STMN0064000073,FFX,28.85,0,9.81,8.27,1437.43,1044.78,582.55,0.00,0.00
STMN0064000125,FFX,0.53,0,28.10,47.32,127.12,30.82,97.71,0.00,0.00
STMN0064000130,FFX,15.16,0,4.84,11.00,528.11,432.25,83.23,0.00,0.00
STMN0064000140,FFX,16.07,0,1.88,2.18,311.07,223.47,43.93,0.00,0.00
STMN0064000222,FFX,9.83,0,0.95,15.86,1631.29,393.91,1235.46,0.00,0.00
STMN0064000281,FFX,9.81,0,1.90,21.42,923.40,492.86,366.75,0.00,0.00
STMN0064000389,FFX,29.73,0,5.29,11.18,3627.33,2499.66,954.94,0.00,0.00
STMN0064000417,FFX,0.55,0,13.06,51.49,103.55,52.96,51.66,0.00,0.00
STMN0064000454,FFX,17.19,0,5.10,11.70,1047.98,657.99,127.44,0.00,0.00
STMN0064000529,VDOT,18.14,0,3.41,25.16,1659.98,1105.69,532.24,0.00,0.00
STMN0064000636,VDOT,35.71,0,3.43,18.69,5109.70,957.95,2303.34,0.00,0.00
STMN0064059062,VDOT,3.72,0,10.72,3.61,245.76,195.73,42.69,0.00,0.00
STMN0064059073,VDOT,2.76,0,3.05,6.39,60.04,19.25,32.23,0.00,0.00
STMN0064081876,FFX,67.70,0,4.13,6.72,4678.32,2513.57,1230.99,0.00,0.00
STMN0064091846,VDOT,8.00,0,4.70,40.25,1897.20,20.32,1402.91,0.00,0.00
STMN0064503418,FFX,10.80,0,8.54,18.02,1907.97,983.82,754.56,0.00,0.00
STMN0071401063,FFX,21.37,0,10.75,13.28,1725.70,1180.03,582.78,0.00,0.00
STMN0071401102,VDOT,1.11,0,0.41,23.85,71.25,10.02,51.77,0.00,0.00
STMN0071401109,FFX,23.45,0,2.16,6.08,1097.64,362.39,603.14,0.00,0.00
STMN0072073654,FFX,15.75,0,3.23,4.45,445.11,360.51,40.38,0.00,0.00
